y,x
0,2132
0,2335
0,2687
1,3105
31,1851
32,2977
48,3047
53,1221
57,1223
71,1938
92,1950
101,1158
118,1312
123,2652
126,2639
143,1270
154,2968
161,2705
163,3037
173,2006
178,1012
178,2797
197,2507
203,1761
207,2536
214,2923
218,2497
218,2910
223,2603
238,2693
244,954
244,2390
248,1046
250,2752
256,1049
256,2493
260,2920
266,2919
267,2365
268,2381
269,1040
278,2958
281,2474
282,2753
283,2956
286,2616
287,2441
291,2766
305,2528
307,2468
312,2765
313,2526
314,2650
319,2485
320,2518
338,2721
338,3105
348,3095
349,2692
351,3105
352,1784
352,2516
353,2548
355,2220
356,2721
359,2583
366,2599
369,1029
370,987
372,2833
373,3031
380,2765
382,1796
384,1541
387,2545
387,2806
389,1028
392,1743
394,1538
398,553
415,2717
419,2607
423,2669
425,2763
426,3105
427,2757
432,3008
434,2999
435,2994
438,2980
438,3029
446,802
447,3091
450,1622
456,2575
457,2796
465,2552
466,2534
469,1384
476,1530
480,1357
485,1534
498,2654
499,554
499,2650
502,3104
503,2546
504,549
511,2561
514,2748
518,2567
522,2620
527,2671
530,710
537,715
538,2521
544,2508
546,2521
546,2924
551,1332
554,1445
560,1168
561,624
561,629
562,648
563,2598
566,1162
571,2512
572,2201
576,1266
577,2575
578,2180
579,2223
585,1153
586,784
587,570
587,3105
588,553
593,538
593,1470
593,2151
593,2477
595,1154
595,1321
602,1386
602,2246
603,2437
604,2194
605,1148
605,1264
605,2432
613,561
614,1159
616,2326
616,2757
620,2131
622,1649
625,1809
628,1810
632,649
637,2437
639,2868
645,1146
646,2423
649,564
650,2829
651,1837
653,559
658,1138
658,1154
658,1232
658,1479
667,2778
669,793
669,1792
669,2924
670,2929
675,2586
677,2040
679,527
682,2836
684,2353
686,533
686,1212
687,756
688,669
696,705
697,2644
697,3038
703,1878
705,1125
711,1031
712,819
717,2332
726,1739
729,2526
731,3037
732,1290
732,2110
733,2357
734,1768
735,1180
739,2361
740,1147
742,2545
743,934
744,3080
746,2777
748,2996
751,1154
751,2082
752,2524
753,2309
754,2538
756,888
758,2216
760,1824
762,2209
763,2216
768,2217
769,936
771,1016
774,1214
777,2160
785,2493
787,2644
787,2823
802,1277
802,2075
804,2762
808,1277
809,1297
811,2052
814,1151
816,1321
816,2481
823,2094
824,1293
838,2382
844,1747
851,1628
857,1932
866,1463
867,885
874,884
876,1281
880,1202
880,1556
881,967
891,2724
894,1204
895,1001
900,1158
902,1200
903,1086
904,2525
913,1164
915,1688
915,2540
918,1172
918,2483
919,1167
920,2517
921,2818
923,2277
925,1162
925,1166
928,2613
930,2767
932,1214
934,2584
936,1071
936,2533
937,1075
937,2471
939,2217
941,1613
942,1126
943,1217
944,1620
946,2497
950,1193
950,1573
952,1568
955,1050
958,1046
965,778
965,1220
972,2126
974,1489
977,2741
978,1590
979,2546
986,1053
986,1064
1006,2754
1007,2946
1007,2959
1008,1263
1010,2961
1012,994
1014,904
1014,979
1014,1151
1017,959
1018,1014
1018,1125
1020,1164
1024,2761
1026,1046
1032,1033
1034,1234
1036,980
1036,2070
1037,946
1037,1216
1038,992
1038,1132
1039,1116
1040,973
1044,1224
1045,943
1047,1144
1050,923
1051,1155
1051,1267
1054,918
1056,1131
1060,1188
1065,892
1066,916
1066,1259
1066,1263
1067,910
1069,1166
1070,1319
1078,673
1087,1157
1089,903
1091,880
1092,1581
1095,1171
1095,2773
1097,888
1099,896
1101,1179
1103,1188
1104,3104
1109,1178
1117,1288
1119,1190
1121,1250
1125,1196
1126,880
1127,2061
1128,872
1129,1227
1130,1241
1131,1284
1132,857
1135,868
1136,862
1136,1321
1136,3022
1138,1266
1140,1622
1140,2788
1141,1200
1142,1994
1144,1511
1145,1184
1151,2934
1154,1208
1157,2622
1160,2777
1161,2573
1161,2616
1162,1283
1164,1505
1164,2777
1168,815
1168,1211
1170,1956
1174,825
1175,1982
1180,1501
1181,1456
1186,2812
1189,862
1189,1461
1190,761
1192,1433
1194,2870
1195,838
1199,2665
1207,2756
1208,1966
1211,1386
1214,862
1218,834
1219,839
1219,870
1227,1267
1231,1206
1233,1411
1237,1205
1238,1391
1245,1205
1245,1341
1245,2810
1250,1199
1251,1316
1254,1419
1279,1210
1338,921
1346,1802
1347,922
1352,812
1373,1809
1376,1090
1378,2082
1379,1081
1381,986
1381,1100
1382,1052
1385,1029
1385,2762
1386,2394
1387,1157
1388,841
1388,973
1389,1073
1390,1909
1392,778
1392,1032
1395,1114
1395,2391
1399,887
1399,954
1407,2573
1413,1055
1415,1195
1416,1898
1416,2799
1417,1034
1420,2163
1422,1902
1432,978
1436,2834
1440,2414
1441,2642
1445,2612
1447,1742
1448,2812
1464,1982
1468,1124
1470,2480
1478,796
1480,2481
1482,2487
1485,2277
1486,1813
1490,1783
1490,1999
1493,2493
1496,2099
1496,2392
1498,1801
1506,1748
1507,2108
1507,2211
1509,1607
1510,2926
1511,2931
1516,1882
1524,1639
1525,1819
1526,2436
1531,2083
1532,1643
1533,1873
1535,1690
1536,1843
1536,1976
1539,2142
1539,2515
1541,2114
1542,1721
1542,1841
1544,2869
1546,1833
1549,2255
1550,1573
1551,2548
1552,1543
1555,2863
1559,2317
1559,2542
1563,2402
1563,2407
1569,2350
1570,2470
1572,2336
1572,2548
1574,2462
1575,908
1577,2398
1579,2301
1580,1528
1581,2068
1582,2072
1583,2138
1583,2789
1584,2551
1585,1544
1588,1961
1588,2891
1589,1389
1590,2549
1592,2279
1593,1593
1593,1597
1593,1746
1593,2574
1595,2284
1596,2163
1597,1602
1597,2279
1598,1674
1599,1753
1601,1533
1604,1712
1605,1719
1605,2857
1611,1363
1611,1989
1611,2856
1613,1741
1615,1986
1615,1991
1627,1376
1629,1907
1629,2022
1629,3024
1630,1577
1631,2315
1633,1507
1633,1518
1638,1843
1639,1367
1639,1586
1642,993
1643,1332
1645,1274
1645,1317
1645,1975
1645,2695
1648,1480
1651,2704
1654,1939
1655,2150
1656,1100
1656,2134
1657,2130
1658,2045
1658,2269
1659,1337
1659,2168
1660,1116
1660,2903
1661,1267
1661,2040
1662,1029
1665,1924
1667,674
1669,1062
1669,1083
1670,1999
1673,1090
1674,1206
1676,2232
1677,1028
1677,2073
1677,2711
1678,1389
1679,1097
1679,1385
1680,1112
1682,2804
1684,2710
1685,660
1685,2808
1687,1066
1688,1079
1688,1536
1688,2853
1689,1075
1689,1188
1692,1542
1694,1927
1695,1001
1696,1141
1696,1947
1697,1031
1697,1908
1698,1119
1699,2831
1700,1256
1702,634
1705,1997
1705,2702
1708,1175
1712,952
1713,941
1714,1557
1716,1011
1721,1667
1721,2742
1722,963
1724,702
1726,1211
1727,1290
1728,681
1728,2828
1731,1240
1735,1206
1737,1254
1741,963
1741,1926
1746,670
1749,2802
1752,1317
1752,2834
1753,759
1753,2042
1756,2959
1760,2719
1762,1258
1764,1491
1765,1957
1765,2188
1769,1488
1771,1259
1771,2733
1772,1970
1777,2221
1786,1393
1786,2026
1788,2934
1796,2726
1799,2790
1800,1599
1809,1358
1809,1819
1811,2724
1812,1262
1818,1522
1819,1261
1828,1292
1829,2655
1831,653
1832,2175
1835,1288
1838,2902
1839,1284
1839,2182
1841,1315
1842,1304
1844,1278
1844,1596
1849,1624
1851,437
1852,1277
1852,1284
1854,605
1854,1295
1857,2899
1868,851
1868,1292
1868,1475
1870,1286
1879,709
1879,1277
1892,878
1892,1538
1892,2791
1893,921
1902,767
1902,2637
1911,2551
1918,2759
1923,2381
1923,2758
1931,2938
1935,1524
1952,1243
1955,1237
1956,1332
1959,1656
1959,2553
1961,2638
1971,2905
1972,2787
1976,2631
1980,2917
1992,2296
2001,1186
2001,1824
2006,2635
2012,2726
2014,1176
2014,2845
2030,1417
2033,1544
2033,2599
2034,769
2037,1063
2041,2844
2042,1523
2043,2322
2047,950
2054,1007
2060,1073
2060,1517
2060,2271
2061,2510
2062,1029
2062,1165
2063,2281
2080,2756
2084,1637
2085,2290
2087,856
2088,1069
2088,1215
2093,1524
2096,1092
2096,1096
2104,887
2108,1110
2109,1081
2112,1402
2114,2742
2121,1424
2126,1120
2128,3043
2130,894
2130,1150
2132,2910
2136,1151
2138,1274
2146,1588
2171,1232
2172,2992
2175,1049
2181,2783
2182,980
2183,998
2189,1536
2193,922
2195,1517
2197,1015
2199,2933
2201,1178
2202,977
2211,2889
2218,993
2226,1167
2228,2355
2229,2929
2233,2228
2237,2206
2243,2196
2243,2735
2243,2942
2260,2371
2261,2376
2263,2902
2264,2722
2264,2805
2265,2745
2265,2824
2267,2460
2279,2895
2292,2941
2295,2876
2301,2889
