y,x
36,2041
37,2445
41,2445
59,2207
166,1028
209,2296
228,1063
249,1068
255,2432
257,1034
272,877
292,1129
315,860
335,1419
347,1796
352,888
355,1017
360,1051
362,965
371,1433
382,1044
388,1026
398,891
398,1765
400,855
409,875
410,1233
413,1353
427,796
431,1396
438,1387
440,1481
448,1376
462,1192
466,1544
467,1190
472,1320
497,1321
501,1346
505,1389
511,1206
526,753
531,1323
532,747
536,1308
539,697
540,734
549,1303
550,1851
554,1162
554,1463
556,1649
557,1639
560,1307
564,2096
565,1190
569,1334
572,1306
583,1153
585,1188
588,637
590,1371
590,1487
591,2261
593,1154
597,1292
601,1415
603,1154
604,1148
616,1662
619,2569
620,801
620,1198
623,804
623,2314
626,1262
635,2440
642,1147
645,786
646,1331
649,1145
651,722
655,1191
655,1875
656,781
660,1343
670,687
678,2522
680,1233
682,745
684,1096
687,753
688,1303
692,1203
697,1098
699,1081
702,1067
705,2125
711,878
711,1025
712,1781
713,1298
715,828
715,1073
717,1082
718,2583
728,867
729,880
729,885
729,1192
729,2371
730,2274
732,866
733,2133
734,1188
736,1191
737,1179
739,2207
740,2213
740,2459
741,2252
742,846
742,1199
745,1153
747,2234
748,1205
749,2027
750,952
750,1022
751,1016
754,1160
754,2196
756,2155
756,2230
759,1154
759,2343
773,1213
775,2638
776,1232
778,2056
779,1226
794,2029
795,2524
797,2025
799,1296
801,1324
807,1147
813,1150
814,1291
830,1458
833,1937
841,1873
853,853
855,902
858,832
859,2437
861,1926
862,827
866,1280
867,1567
868,842
874,1146
874,1152
884,1363
886,822
892,1204
893,1399
895,1645
897,1161
899,742
899,1021
901,1210
901,2289
913,1168
923,1715
924,1159
924,1166
926,1758
927,1071
928,1620
929,1076
929,2251
933,2285
935,1051
935,1215
936,1056
936,1302
938,2477
939,1066
948,1935
949,1759
950,1566
952,1193
954,1755
957,1058
959,2093
962,2517
963,1035
964,1872
965,1760
968,1197
969,1308
972,1710
973,1321
973,1849
973,1855
973,2530
974,814
976,1083
976,1170
978,1705
981,786
984,1072
984,1223
984,2026
986,787
989,1520
990,1069
994,1905
996,924
996,970
997,988
997,1038
997,1180
999,1008
1005,1161
1007,941
1007,987
1007,1207
1013,939
1014,976
1014,1151
1015,1020
1016,1025
1017,957
1017,1014
1018,969
1020,1044
1020,1049
1020,1227
1021,1164
1022,953
1022,1210
1023,1113
1028,1096
1029,1008
1029,1990
1031,971
1032,1977
1033,1086
1033,1222
1033,1653
1034,1098
1035,970
1036,1122
1038,966
1042,1269
1043,955
1043,1204
1044,934
1045,929
1045,939
1049,1817
1049,1846
1050,1906
1051,916
1052,1224
1055,1134
1057,1181
1058,1174
1060,889
1063,914
1064,1174
1065,1141
1066,1179
1067,1169
1072,2002
1074,667
1078,1189
1079,1455
1085,1426
1085,1935
1086,1931
1087,773
1087,1174
1089,904
1092,1162
1092,1278
1093,895
1093,1180
1096,1713
1097,886
1098,1192
1099,1187
1099,1236
1099,1239
1100,836
1106,1279
1107,881
1107,889
1108,1272
1110,1283
1110,1345
1115,1208
1118,857
1118,869
1119,1295
1119,1353
1123,879
1123,1215
1124,1853
1126,870
1129,1192
1131,1271
1132,1296
1133,1233
1135,1673
1137,1269
1144,1183
1145,1208
1156,868
1158,837
1158,1225
1159,847
1160,1210
1160,2101
1161,830
1161,1961
1168,1209
1169,1203
1170,843
1172,1991
1173,1226
1174,1206
1175,806
1177,769
1177,827
1179,1766
1184,1209
1194,1215
1198,833
1204,1214
1209,849
