Tip ID,Frame,Y,X
0,0,0,8821
1,0,0,8861
2,0,6,8642
3,0,14,8507
4,0,16,8732
5,0,17,8495
6,0,18,8488
7,0,26,8368
8,0,28,8324
9,0,28,8342
10,0,30,8296
11,0,35,8269
12,0,35,8359
13,0,36,8221
14,0,48,8287
15,0,53,7993
16,0,55,7956
17,0,55,7963
18,0,56,7971
19,0,58,7911
20,0,58,7927
21,0,60,7900
22,0,60,7941
23,0,63,7854
24,0,63,7861
25,0,63,7892
26,0,66,7805
27,0,68,7785
28,0,69,7779
29,0,71,7733
30,0,73,7728
31,0,75,7716
32,0,77,7647
33,0,77,7657
34,0,83,7557
35,0,83,7603
36,0,85,7546
37,0,89,7720
38,0,95,7396
39,0,96,7384
40,0,96,7388
41,0,108,7194
42,0,110,7186
43,0,122,7116
44,0,410,9469
45,0,455,9818
46,0,523,8854
47,0,524,9006
48,0,529,8841
49,0,529,9011
50,0,529,9794
51,0,541,8820
52,0,562,9790
53,0,564,9030
54,0,577,9043
55,0,634,7458
56,0,676,7670
57,0,679,7673
58,0,708,7689
59,0,727,7697
60,0,754,1047
60,2,745,1037
60,3,731,1034
60,4,735,1023
60,5,737,1017
61,0,768,9052
62,0,794,6321
63,0,809,1001
64,0,814,1004
65,0,818,4805
66,0,819,4783
67,0,831,1014
68,0,831,4860
69,0,836,958
69,5,845,947
69,7,845,946
70,0,839,976
71,0,857,6006
72,0,858,994
73,0,871,6003
74,0,877,988
74,2,881,976
74,3,887,981
74,5,890,979
74,6,886,971
74,8,881,967
74,12,885,975
74,13,886,980
74,14,889,984
74,15,888,985
74,16,887,981
75,0,877,6004
76,0,880,993
76,3,887,981
76,5,890,979
76,6,886,971
76,8,881,967
76,12,885,975
76,13,886,980
76,14,889,984
76,15,888,985
76,16,887,981
77,0,880,7403
78,0,890,1020
78,1,899,1021
78,2,903,1035
78,3,903,1037
78,4,903,1039
78,5,903,1038
78,6,902,1038
78,10,902,1038
78,11,902,1039
78,12,902,1053
78,13,902,1039
79,0,891,967
79,2,885,977
79,3,887,981
79,5,890,979
79,6,886,971
79,8,881,967
79,12,885,975
79,13,886,980
79,14,889,984
79,15,888,985
79,16,887,981
80,0,892,1000
80,2,894,1002
80,3,893,999
80,5,894,1001
80,7,894,1001
80,8,895,1001
80,9,894,1002
80,10,895,1003
80,14,893,999
80,15,888,985
80,16,887,981
81,0,899,1013
81,1,899,1021
81,2,903,1035
81,3,903,1037
81,4,903,1039
81,5,903,1038
81,6,902,1038
81,10,902,1038
81,11,902,1039
81,12,902,1053
81,13,902,1039
82,0,900,968
82,5,890,979
82,6,886,971
82,8,881,967
82,12,885,975
82,13,886,980
82,14,889,984
82,15,888,985
82,16,887,981
83,0,903,7416
84,0,911,4946
85,0,922,7437
86,0,923,6010
87,0,938,4956
88,0,948,4959
89,0,989,981
89,1,997,988
89,4,987,989
89,5,997,997
89,6,1000,992
89,7,1008,988
89,8,1012,994
89,9,1006,1001
89,10,999,997
89,14,1003,997
89,18,1000,1009
90,0,999,6282
91,0,1025,3275
92,0,1026,2079
92,8,1036,2070
92,10,1031,2064
92,11,1028,2059
92,12,1021,2052
92,13,1013,2044
92,17,1023,2049
92,18,1026,2053
93,0,1029,2097
93,2,1041,2089
93,5,1043,2081
93,7,1048,2079
94,0,1041,6212
95,0,1047,1453
96,0,1049,3598
97,0,1052,1966
98,0,1054,3267
99,0,1061,3266
100,0,1061,4654
101,0,1086,3264
102,0,1093,3263
103,0,1094,3590
104,0,1105,4680
105,0,1107,4917
106,0,1128,1074
107,0,1141,4856
108,0,1156,2217
109,0,1157,3573
110,0,1162,3573
111,0,1165,3578
112,0,1182,1118
113,0,1183,2220
114,0,1183,9028
115,0,1185,8865
116,0,1187,2221
117,0,1188,1123
118,0,1193,3303
119,0,1199,3302
120,0,1199,8863
121,0,1277,8793
122,0,1278,8800
123,0,1288,7505
124,0,1299,7497
125,0,1300,1197
125,1,1307,1193
125,2,1308,1202
125,3,1302,1203
125,5,1302,1203
125,13,1296,1201
125,17,1299,1194
126,0,1315,7700
127,0,1349,7729
128,0,1379,1230
129,0,1383,1236
130,0,1531,6055
131,0,1555,7465
132,0,1572,7477
133,0,1703,6243
134,0,1785,4754
135,0,1791,4930
136,0,1836,3622
137,0,1895,3391
138,0,1908,9171
139,0,1952,7547
140,0,2014,2132
140,16,2018,2131
140,17,2011,2134
141,0,2015,2104
142,0,2020,2119
142,15,2030,2128
142,16,2018,2131
142,17,2011,2134
143,0,2021,2113
144,0,2027,8836
145,0,2035,6272
146,0,2038,7793
147,0,2042,7797
148,0,2048,6205
149,0,2123,6413
150,0,2141,4896
151,0,2142,4882
152,0,2142,4887
153,0,2147,4853
154,0,2158,6109
155,0,2159,4973
156,0,2166,6429
157,0,2180,4792
158,0,2181,6104
159,0,2189,7788
160,0,2204,6102
161,0,2225,6100
