y,x
0,104
0,629
0,691
0,717
0,727
0,885
0,1458
0,1509
1,437
1,1347
1,1495
3,450
4,1488
11,1270
12,558
18,1337
29,1249
29,1437
30,757
30,1338
31,607
32,440
32,1310
39,671
39,1532
41,1476
42,550
44,434
45,1311
50,1363
51,446
53,1612
54,1134
54,1325
62,940
62,1095
65,1097
83,433
94,518
95,440
95,764
96,1364
107,1327
114,1326
124,500
129,1185
131,1
132,1626
133,1175
136,383
147,317
149,311
150,104
154,1618
163,1025
171,1054
174,1627
177,419
177,459
184,444
184,1627
189,1367
190,1595
193,174
196,1478
198,252
198,1111
200,1502
205,1501
206,222
209,303
210,1476
211,500
214,1446
227,1409
228,564
232,222
234,1431
239,563
245,563
246,583
252,612
257,1275
261,579
263,1375
281,1031
284,996
303,749
304,171
306,1114
308,136
309,1211
310,1180
312,171
313,567
316,120
318,842
323,490
326,105
331,287
331,490
337,444
339,375
339,486
348,433
349,910
350,450
355,458
356,454
359,1563
362,448
362,452
362,910
369,1058
371,1627
372,357
372,907
373,362
374,501
374,1539
379,412
379,504
380,905
383,1117
393,1020
395,1039
396,1158
402,64
406,990
408,875
411,775
415,876
423,350
432,1483
434,1143
436,1194
437,1115
439,1163
447,553
448,189
450,266
451,437
455,299
455,411
455,1491
456,449
461,340
464,872
466,1354
468,1157
471,520
473,266
473,313
473,317
474,502
475,418
476,402
477,259
479,407
481,510
482,212
484,431
487,209
488,441
488,552
492,193
494,201
495,419
497,474
502,178
503,485
503,545
503,549
506,452
518,1
520,930
521,714
522,521
525,457
526,188
527,701
528,460
528,523
529,166
532,457
533,450
534,174
537,181
538,466
544,470
546,464
551,170
551,457
554,574
556,476
558,535
562,482
563,166
565,158
566,513
566,1350
567,527
569,568
573,148
573,608
576,152
576,552
576,910
577,1279
587,695
590,131
590,494
599,569
601,791
605,497
607,1242
610,687
612,694
612,1268
616,506
616,786
621,518
622,53
622,505
626,148
626,747
628,720
632,703
633,124
636,127
636,707
641,484
647,1251
648,641
648,672
651,148
655,120
660,123
665,498
665,616
666,553
668,492
670,697
675,491
675,678
677,160
678,533
679,680
683,625
687,602
691,705
696,481
703,498
714,489
716,496
718,472
738,161
741,157
741,476
761,473
767,450
767,485
768,472
775,191
775,207
780,1088
781,460
782,435
782,495
785,456
790,98
791,493
796,96
800,246
807,1099
810,1376
813,376
817,387
821,449
822,61
822,338
826,127
827,255
827,1195
828,329
829,173
829,304
832,400
835,242
850,341
853,1184
854,1453
858,1447
859,1188
860,1625
884,1028
898,1265
901,442
915,82
916,1095
919,1626
922,1563
928,1070
933,1385
934,1089
935,1447
937,1578
944,1394
945,893
947,997
947,1627
953,1169
954,1494
959,1510
962,1105
967,853
967,1368
969,930
970,1159
972,976
973,1128
973,1262
976,1428
978,1128
978,1401
979,1007
979,1554
983,1119
986,1541
990,829
999,1627
1008,837
1008,867
1008,1627
1009,1622
1012,192
1014,1441
1016,812
1016,1587
1020,1424
1024,1247
1026,675
1032,1035
1033,1449
1034,888
1035,876
1035,960
1036,1040
1041,1240
1042,1002
1042,1007
1047,1033
1048,0
1048,649
1049,1626
1052,1272
1052,1277
1064,662
1066,1193
1067,863
1067,1309
1069,792
1070,804
1070,866
1072,1604
1075,1129
1076,653
1076,1206
1079,279
1080,619
1081,604
1082,561
1082,1261
1085,766
1091,903
1091,1226
1096,623
1096,1555
1097,384
1097,402
1098,315
1098,553
1098,1211
1106,349
1107,1285
1108,340
1110,376
1110,512
1111,492
1112,343
1112,1518
1114,1359
1115,315
1115,675
1116,506
1116,671
1118,405
1125,365
1125,822
1127,475
1128,828
1132,1214
1133,1233
1134,317
1137,542
1141,0
1142,1283
1148,239
1149,1
1149,231
1151,843
1155,0
1156,1250
1158,953
1159,249
1163,497
1166,1178
1168,526
1173,494
1178,249
1178,1212
1185,0
1189,603
1190,1328
1201,777
1202,1474
1204,1248
1206,774
1206,1555
1209,1256
1219,762
1223,679
1223,1312
1229,847
1229,1511
1237,886
1241,1574
1244,643
1246,79
1246,1105
1249,548
1255,808
1256,547
1260,0
1265,578
1269,1461
1272,574
1276,591
1277,570
1278,589
1278,601
1279,1468
1282,569
1283,888
1286,903
1289,563
1290,570
1290,580
1291,1595
1302,575
1305,137
1305,761
1307,572
1310,577
1315,563
1326,164
1326,574
1326,820
1326,907
1326,991
1326,1360
1326,1542
